"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding","level_id","platform_code"
"104931-2329979","332","Park Avenue and Parkbrook Circle","E PA332","30.442029","-84.236518","","","0","","","1","",""
"104931-2329980","334","Park Avenue and Richview Road","E PA334","30.44201","-84.232235","","","0","","","1","",""
"104931-2329981","337","Park Avenue and Capital Circle SE (Park Capitol Shopping Center)","PRKCCSE","30.441398","-84.226991","","","0","","","1","",""
"104931-2329982","338","Park Avenue and Capital Circle Se","PRKCCWB","30.44189","-84.227499","","","0","","","1","",""
"104931-2329983","341","Capital Circle SE and Dick Wilson Boulevard","SE C341","30.431389","-84.226882","","","0","","","1","",""
"104931-2329984","342","Apalachee Parkway and Vogue Drive","APAL342","30.427441","-84.224584","","","0","","","1","",""
"104931-2329985","343","Apalachee Parkway and Carin Road","APAL343","30.427752","-84.219824","","","0","","","0","",""
"104931-2329986","344","Apalachee Parkway and Idlewild Drive","APAL344","30.427861","-84.216682","","","0","","","0","",""
"104931-2329987","347","Sutor Road and Aksarben Drive","SUTO347","30.432322","-84.212112","","","0","","","1","",""
"104931-2329988","348","Lincoln High School","LINCOLN","30.43473","-84.2129","","","0","","","1","",""
"104931-2329989","349","Trojan Trail at Apalachee Elementary","TROJ349","30.434717","-84.215437","","","0","","","1","",""
"104931-2329990","352","Conner Boulevard and Trojan Trail","CONN352","30.440258","-84.219904","","","0","","","1","",""
"104931-2329991","359","W Call Street and Copeland","W CA359","30.443552","-84.291924","","","0","","","1","",""
"104931-2329993","363","W Jefferson Street at Ragan Hall","W JE363","30.43955","-84.299404","","","0","","","1","",""
"104931-2329994","364","W Jefferson Street at Dodd Hall","","30.439574","-84.292697","","","0","","","1","",""
"104931-2329995","366","W Jefferson Street and Varsity Drive","JEFFVRTY","30.439703","-84.299591","","","0","","","1","",""
"104931-2329996","368","Chieftan Way at Circus Complex","CHIE368","30.439875","-84.302898","","","0","","","1","",""
"104931-2329998","371","Tully Gym","TULLGYM","30.44218","-84.30274","","","0","","","1","",""
"104931-2329999","372","Spirit Way and Stadium Drive","SPIR372","30.44256","-84.305144","","","0","","","1","",""
"104931-2330000","376","E Lafayette Street and Suwannee Street (FL Department of Transportation)","E LA376","30.437532","-84.274193","","","0","","","1","",""
"104931-2330001","378","E Lafayette Street and Myers Park Drive","E LA378","30.437149","-84.271468","","","0","","","1","",""
"104931-2330002","379","E Lafayette Street and Myers Park Drive","E LA379","30.437241","-84.271098","","","0","","","0","",""
"104931-2330003","382","E Lafayette Street and Seminole Drive","E LA382","30.436363","-84.266803","","","0","","","1","",""
"104931-2330004","383","E Lafayette Street and Seminole Drive","E LA383","30.436433","-84.266457","","","0","","","0","",""
"104931-2330005","384","E Lafayette Street and S Magnolia Drive (Parkway Center)","LAFAMAGN","30.435288","-84.260783","","","0","","","1","",""
"104931-2330006","386","E Lafayette Street and E Indianhead Drive","E LA386","30.434853","-84.258134","","","0","","","1","",""
